#,Issue / Feature Request,Category,Date,Owner,Status,Gemini Notes
1,CAN FD payload limits (64B) and Ethernet frame packing timeline,Communication,2026-03-16,,Untracked,https://docs.google.com/document/d/1ZfvoMDejn8MS0ObaQdLFqGdZcnexXS9UJGlJbRd97cA/edit?tab=t.kbie63cma5qe
2,Middleware finalization urgency (CAN-over-Ethernet vs SOME/IP vs plain Ethernet),Communication,2026-05-26,,Untracked,https://docs.google.com/document/d/1Li2EbuAkWzE1JvVKV33W9RMsWedrD0MNOKKEl0DYVXw/edit?usp=drive_web&tab=t.k69myej9j18
3,Signal Gateway classic PyArch documentation vs. middleware dependency,Communication,2026-03-13,,Untracked,(no Gemini link)
4,Interzonal Ethernet packet communication protocol definition (pros/cons vs SOME/IP),Communication,2026-03-18,,Untracked,https://docs.google.com/document/d/1jSfMPxmNI73ETYzZMtK36xChvh2Fl7I6I2sq6Lf4t1U/edit?tab=t.hyznfxvun7i3
5,Automated PDU start-bit offset calculation at build time,Communication,2026-03-16,,Untracked,https://docs.google.com/document/d/1ZfvoMDejn8MS0ObaQdLFqGdZcnexXS9UJGlJbRd97cA/edit?tab=t.kbie63cma5qe
6,Runtime ADC pin configurability: voltage vs. current sensing (Juniper),Hardware Abstraction,2026-04-02,,Untracked,https://docs.google.com/document/d/1d7vif9SNv4Hbneo0ymr_y18crca7U-0blr48J4UxnKU/edit?tab=t.sja9i4ckxy1t
7,ADC voltage scaling at firmware/HAL layer (not app layer),Hardware Abstraction,2026-05-12,,Untracked,https://docs.google.com/document/d/1jlBPVN5Mr85wbYz-jnpbwZIO6X8J2k3ZHyeU5KwmY-U/edit?usp=drive_web&tab=t.j736hx8zdufi
8,ADC voltage divider placement: internal vs. external to Palm board,Hardware Abstraction,2026-05-22,,Untracked,https://docs.google.com/document/d/1Kp_bJO2-UOXQxXYijxr9KzIwKi0TrwEjmJiCQ5YHrrg/edit?usp=drive_web&tab=t.u5anwuq2kjqz
9,Digital-to-analog migration: pressure switches to resistive pressure switches,Hardware Abstraction,2026-03-24,,Untracked,https://docs.google.com/document/d/1ahmV-kZaVXRQzY4qXot_HGOkaDSKn3TJU0csHzCwbGw/edit?tab=t.14dwpi1kc0t
10,Current sensing hardware support (shunt resistors on K1/Palm),Hardware Abstraction,2026-05-22,,Untracked,https://docs.google.com/document/d/1Kp_bJO2-UOXQxXYijxr9KzIwKi0TrwEjmJiCQ5YHrrg/edit?usp=drive_web&tab=t.u5anwuq2kjqz
11,12V/24V ADC scoping history (current plans only cover 5V),Hardware Abstraction,2026-04-02,,Untracked,https://docs.google.com/document/d/1d7vif9SNv4Hbneo0ymr_y18crca7U-0blr48J4UxnKU/edit?tab=t.sja9i4ckxy1t
12,SIL environment availability timeline for AutoLoop,Testing,2026-03-25,,Untracked,https://docs.google.com/document/d/1OhZwb9E9g4A2Hq2FxHwRTcjY-yoFoNRHFaFRIHx1a1I/edit?tab=t.1wq8zrywe33c
13,Manual low voltage testing process automation (end-of-line / automated checkout),Testing,2026-03-11,,Untracked,(no Gemini link)
14,Polarian test requirements example format,Testing,2026-03-24,,Untracked,https://docs.google.com/document/d/1ahmV-kZaVXRQzY4qXot_HGOkaDSKn3TJU0csHzCwbGw/edit?tab=t.14dwpi1kc0t
15,Pytest HTML test reporting (sharing script and examples),Testing,2026-03-25,,Untracked,https://docs.google.com/document/d/1OhZwb9E9g4A2Hq2FxHwRTcjY-yoFoNRHFaFRIHx1a1I/edit?tab=t.1wq8zrywe33c
16,Post-submit integration tests in BuildKite and Workbench,Testing,2026-05-05,,Untracked,https://docs.google.com/document/d/1QHKCssb2v83HRCm7O0SQdJdadXN9CLGhvoCDLKPZbMs/edit?usp=drive_web&tab=t.pcaieyyvt49c
17,Signal-name-based periodic injection helper for tests,Testing,2026-05-20,,Untracked,https://docs.google.com/document/d/17Vs-0BGX0A1dMXTJYzEQrcBmtUicWjPY_FcznkiHSio/edit?tab=t.0
18,inject_can period parameter (currently requires while-loop workaround),Testing,2026-05-20,,Untracked,https://docs.google.com/document/d/17Vs-0BGX0A1dMXTJYzEQrcBmtUicWjPY_FcznkiHSio/edit?tab=t.0
19,Interactive debugger with C code context (GDB integration in mozz debug),Testing,2026-05-21,,Untracked,https://docs.google.com/document/d/1typhRizUKhtsxaeFGvwV3Z3FgY2z3bhe3Tnu5DYveHw/edit?usp=drive_web&tab=t.ti9tm2q9fh2q
20,Assembly connection testing in SIL (RTE internal same-zone links),Testing,2026-05-21,,Untracked,https://docs.google.com/document/d/1typhRizUKhtsxaeFGvwV3Z3FgY2z3bhe3Tnu5DYveHw/edit?usp=drive_web&tab=t.ti9tm2q9fh2q
